Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-26 09:30:00-04:00,177.67999267578125,178.02999877929688,177.14500427246094,177.14500427246094,1870782,0.0,0.0
2024-04-26 09:31:00-04:00,177.11619567871094,177.22999572753906,176.51519775390625,176.77000427246094,333629,0.0,0.0
2024-04-26 09:32:00-04:00,176.82000732421875,176.8699951171875,176.2449951171875,176.2449951171875,225618,0.0,0.0
2024-04-26 09:33:00-04:00,176.2449951171875,177.19000244140625,176.22000122070312,176.88999938964844,231393,0.0,0.0
2024-04-26 09:34:00-04:00,176.91000366210938,176.99000549316406,176.50999450683594,176.69000244140625,250578,0.0,0.0
2024-04-26 09:35:00-04:00,176.6699981689453,177.1199951171875,176.5,177.08999633789062,220817,0.0,0.0
2024-04-26 09:36:00-04:00,177.11000061035156,177.36000061035156,176.97000122070312,177.02490234375,214897,0.0,0.0
2024-04-26 09:37:00-04:00,177.0500030517578,177.2899932861328,176.88999938964844,176.92999267578125,182269,0.0,0.0
2024-04-26 09:38:00-04:00,176.92999267578125,177.2899932861328,176.85000610351562,177.25,155485,0.0,0.0
2024-04-26 09:39:00-04:00,177.1999969482422,177.52499389648438,177.1999969482422,177.36000061035156,142404,0.0,0.0
2024-04-26 09:40:00-04:00,177.39779663085938,177.60000610351562,176.98989868164062,177.01519775390625,190322,0.0,0.0
2024-04-26 09:41:00-04:00,177.01780700683594,177.2100067138672,176.7899932861328,176.80360412597656,129188,0.0,0.0
2024-04-26 09:42:00-04:00,176.81320190429688,177.0399932861328,176.57000732421875,176.64390563964844,194509,0.0,0.0
2024-04-26 09:43:00-04:00,176.63999938964844,176.6999969482422,176.50999450683594,176.52999877929688,149187,0.0,0.0
2024-04-26 09:44:00-04:00,176.5399932861328,176.6300048828125,176.35000610351562,176.44000244140625,147767,0.0,0.0
2024-04-26 09:45:00-04:00,176.44000244140625,176.9398956298828,176.44000244140625,176.6300048828125,105702,0.0,0.0
2024-04-26 09:46:00-04:00,176.6300048828125,176.67999267578125,176.47999572753906,176.67999267578125,135428,0.0,0.0
2024-04-26 09:47:00-04:00,176.67999267578125,177.07000732421875,176.67999267578125,176.94000244140625,140475,0.0,0.0
2024-04-26 09:48:00-04:00,176.91270446777344,177.0800018310547,176.76499938964844,176.7790985107422,117611,0.0,0.0
2024-04-26 09:49:00-04:00,176.77000427246094,176.9409942626953,176.66000366210938,176.77389526367188,77073,0.0,0.0
2024-04-26 09:50:00-04:00,176.7899932861328,176.8300018310547,176.6199951171875,176.7550048828125,102655,0.0,0.0
2024-04-26 09:51:00-04:00,176.75929260253906,176.75929260253906,176.5800018310547,176.6199951171875,110571,0.0,0.0
2024-04-26 09:52:00-04:00,176.61000061035156,176.6999969482422,176.17999267578125,176.19500732421875,178328,0.0,0.0
2024-04-26 09:53:00-04:00,176.24000549316406,176.52000427246094,176.1300048828125,176.50999450683594,151321,0.0,0.0
2024-04-26 09:54:00-04:00,176.52000427246094,177.02999877929688,176.50999450683594,177.02999877929688,120903,0.0,0.0
